slug,name,borough,neighborhood,address,cuisines,price_tiers,meal_periods,weeks,sunday_participation,menu_url,reservation_link,listing_url,website,menu_parse_quality
skewr,Skëwr,Manhattan,Nomad,"127 E. 27th St., Manhattan, NY, 10016","[""Mediterranean""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/51361-Skewr-menu.pdf,,https://www.nyctourism.com/restaurant-week/skewr/,https://www.skewr.nyc,failed
smith-wollensky,Smith & Wollensky,Manhattan,Midtown East,"797 Third Ave., Manhattan, NY, 10022","[""Steakhouse""]","[""$60""]","[""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/12201-Smith%26Wollensky-menu.pdf,https://www.opentable.com/restref/client/?rid=6648,https://www.nyctourism.com/restaurant-week/smith-wollensky/,https://www.smithandwollenskynyc.com,full
smyth-tavern,Smyth Tavern,Manhattan,Tribeca,"Smyth Tribeca, 85 West Broadway, Manhattan, NY, 10007","[""American (Traditional)""]","[""$30"", ""$45"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/46693-SmythTavern-menu.pdf,https://www.opentable.com/restref/client/?rid=1260085,https://www.nyctourism.com/restaurant-week/smyth-tavern/,https://www.smythtavern.com,partial
so-and-sos,So & So's,Manhattan,Hells Kitchen,"Romer Hell's Kitchen, 302 W. 52nd St., Manhattan, NY, 10019","[""American (New)"", ""Eclectic""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49254-So%26So%27s-menu.pdf,,https://www.nyctourism.com/restaurant-week/so-and-sos/,https://www.soandsosbar.com,partial
sozo-sip-bar-omakase,SoZo Sip Bar + Omakase,Manhattan,East Village,"319 Bowery, Manhattan, NY, 10003","[""Japanese / Sushi""]","[""$60""]","[""brunch"", ""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/51123-SoZoSipBar%2BOmakase-menu.pdf,,https://www.nyctourism.com/restaurant-week/sozo-sip-bar-omakase/,https://www.sozo-nyc.com,partial
socarrat-paella-bar-chelsea,Socarrat Paella Bar - Chelsea,Manhattan,Chelsea,"259 W. 19th St., Manhattan, NY, 10011","[""Spanish""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/38284-SocarratPaellaBar-Chelsea-menu.pdf,https://www.opentable.com/restref/client/?rid=60874,https://www.nyctourism.com/restaurant-week/socarrat-paella-bar-chelsea/,https://socarratnyc.com/chelsea,full
socarrat-paella-bar-midtown-east,Socarrat Paella Bar - Midtown East,Manhattan,Midtown East,"953 Second Ave., Manhattan, NY, 10022","[""Spanish""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/38285-SocarratPaellaBar-MidtownEast-menu.pdf,https://www.opentable.com/restref/client/?rid=96670,https://www.nyctourism.com/restaurant-week/socarrat-paella-bar-midtown-east/,https://socarratnyc.com/midtown-east,full
socarrat-paella-bar-nolita,Socarrat Paella Bar - Nolita,Manhattan,Nolita,"284 Mulberry St., Manhattan, NY, 10012","[""Spanish""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/36363-SocarratPaellaBar-Nolita-menu.pdf,https://www.opentable.com/restref/client/?rid=58891,https://www.nyctourism.com/restaurant-week/socarrat-paella-bar-nolita/,https://socarratnyc.com/nolita,full
society-cafe,Society Cafe,Manhattan,Greenwich Village,"Walker Hotel Greenwich Village, 52 W. 13th St., Manhattan, NY, 10011","[""American (New)""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/37901-SocietyCafe-menu.pdf,https://www.opentable.com/restref/client/?rid=101131,https://www.nyctourism.com/restaurant-week/society-cafe/,https://www.societycafenyc.com,full
sofrito-on-the-hudson,Sofrito on the Hudson,Manhattan,Hamilton Heights,"Riverbank State Park, 679 Riverside Dr. (enter at 145th St.), Manhattan, NY, 10031","[""Puerto Rican""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)""]",0,,https://www.opentable.com/restref/client/?rid=82576,https://www.nyctourism.com/restaurant-week/sofrito-on-the-hudson/,https://sofritony.com,
